"","yr","colType","prob","lb","ub"
"1","1996-2001","INTERNATIONAL","0.0228599811767641","0.0288108462912769","0.035292714503267"
"2","1996-2001","NATIONAL","0.00576129986056653","0.00724094256323454","0.00918525065112838"
"3","1996-2001","REGIONAL","0.012436831645292","0.0156206163505074","0.0193653042194324"
"4","2002-2008","INTERNATIONAL","0.00231909119862199","0.00281413278398978","0.00335156266225673"
"5","2002-2008","NATIONAL","0.00465776096608224","0.00717846623093906","0.010897590729298"
"6","2002-2008","REGIONAL","0.00759917138485295","0.00903732053228491","0.0106506640351977"
"7","2009-2010","INTERNATIONAL","0.00415509876224365","0.00549681345994657","0.00701943954633584"
"8","2009-2010","NATIONAL","0.0296856107657137","0.0383435722967182","0.0486144308340947"
"9","2009-2010","REGIONAL","0.00941221500635262","0.0112398476478811","0.0132755778182122"
"10","2011-2012","INTERNATIONAL","0.0161567213763967","0.0205380297503903","0.0257100181443177"
"11","2011-2012","NATIONAL","0.0511190894963632","0.067252423289055","0.0847292424163337"
"12","2011-2012","REGIONAL","0.0234668746294729","0.0289651256173138","0.0350651959479163"
"13","2013-2014","INTERNATIONAL","0.0175644362491699","0.0220643377145938","0.0271962281546148"
"14","2013-2014","NATIONAL","0.0552300316191972","0.0738192347552805","0.0945357485131019"
"15","2013-2014","REGIONAL","0.0456831011132719","0.0532897417739991","0.061014171647119"
